Drugbank id	Weight (Da)
DB01162	387.4329
DB01163	325.426
DB01164	110.984
DB01165	361.3675
DB01166	369.4607
DB01167	705.633
DB01168	221.2988
DB01169	197.84
DB01170	198.3085
DB01171	268.739
DB01172	484.4986
DB01173	269.3813
DB01174	232.2353
DB01175	324.3919
DB01176	266.3807
DB01177	497.4939
DB01178	273.736
DB01179	414.4053
DB01180	634.716
DB01181	261.086
DB01182	341.444
DB01183	327.3743
DB01184	425.911
DB01185	336.4409
DB01186	314.488
DB01187	416.3368
DB01188	207.2689
DB01189	168.0378
DB01190	424.983
DB01191	231.2573
DB01192	301.3371
DB01193	336.4259
DB01194	383.507
DB01195	414.3427
DB01196	440.403
DB01197	217.285
DB01198	388.808
DB01199	609.7312
DB01200	654.595
DB01201	877.0307
DB01202	170.212
DB01203	309.4006
DB01204	444.4809
DB01205	303.2884
DB01206	233.695
DB01207	366.3344
DB01208	392.3998
DB01209	245.3599
DB01210	291.3853
DB01211	747.9534
DB01212	554.58
DB01213	82.1038
DB01214	309.4006
DB01215	294.738
DB01216	372.5441
DB01217	293.3663
DB01218	500.424
DB01219	314.253
DB01220	785.8785
DB01221	237.725
DB01222	430.5339
DB01223	420.4264
DB01224	383.507
DB01225	-1
DB01226	1029.2608
DB01227	353.4977
DB01228	352.4699
DB01229	853.9061
DB01230	176.172
DB01231	309.4452
DB01232	670.8408
DB01233	299.796
DB01234	392.4611
DB01235	197.1879
DB01236	200.0548
DB01237	334.251
DB01238	448.385
DB01239	315.86
DB01240	352.4651
DB01241	250.3334
DB01242	314.852
DB01244	366.5396
DB01245	258.4863
DB01246	298.446
DB01247	231.2505
DB01248	807.8792
DB01249	1550.1819
DB01250	302.239
DB01251	527.632
DB01252	315.413
DB01253	325.4048
DB01254	488.006
DB01255	263.3785
DB01256	517.763
DB01257	148000.0
DB01259	581.058
DB01260	416.5073
DB01261	407.3136
DB01262	228.2053
DB01263	700.7774
DB01264	547.664
DB01265	242.2286
DB01266	-1
DB01267	426.4839
DB01268	398.4738
DB01269	-1
DB01270	48349.611
DB01271	76000.0
DB01272	105270.802
DB01273	211.2624
DB01274	344.4049
DB01275	160.1759
DB01276	4186.6
DB01277	7649.0
DB01278	3949.44
DB01279	56012.6
DB01280	297.2673
DB01281	92300.0
DB01282	988.161
DB01283	293.721
DB01284	2933.49
DB01285	4541.0658
DB01288	303.3529
DB01289	449.524
DB01291	240.2988
DB01294	362.0926
DB01295	345.4327
DB01296	179.1711
DB01297	266.3361
DB01298	294.33
DB01299	310.329
DB01301	527.5662
DB01303	283.3268
DB01306	5825.8
DB01307	5916.9
DB01309	5823.0
DB01319	585.607
DB01320	362.2739
DB01321	827.995
DB01323	-1
DB01324	439.882
DB01325	289.739
DB01326	462.503
DB01327	454.507
DB01328	542.566
DB01329	645.67
DB01330	575.619
DB01331	427.452
DB01332	383.403
DB01333	349.405
DB01336	652.8189
DB01337	572.8619
DB01338	602.8912
DB01339	557.8274
DB01340	417.4986
DB01341	-1
DB01342	416.522
DB01344	-1
DB01345	39.0983
DB01346	556.652
DB01347	611.431
DB01348	466.614
DB01349	411.4591
DB01351	226.2722
DB01352	210.2298
DB01353	212.2456
DB01354	250.2936
DB01355	236.267
DB01356	6.941
DB01357	310.4299
DB01359	291.4284
DB01362	821.1379
DB01363	-1
DB01364	165.2322
DB01365	163.2594
DB01366	290.3575
DB01367	171.2383
DB01369	1022.23
DB01370	26.9815
DB01373	40.078
DB01375	344.472
DB01377	40.304
DB01378	24.305
DB01380	402.4807
DB01381	-1
DB01382	309.341
DB01384	392.4611
DB01388	495.6287
DB01390	84.0066
DB01392	354.4427
DB01393	361.819
DB01394	399.437
DB01395	366.4932
DB01396	764.9391
DB01397	298.531
DB01399	258.2262
DB01400	223.2915
DB01401	539.814
DB01403	328.472
DB01404	-1
DB01405	417.3811
DB01406	337.4553
DB01407	277.19
DB01408	367.44
DB01409	392.512
DB01410	540.697
DB01411	481.512
DB01412	180.164
DB01413	480.561
DB01414	339.324
DB01415	410.425
DB01416	427.455
DB01418	353.3255
DB01419	588.5435
DB01420	344.4877
DB01421	615.6285
DB01422	190.1555
DB01423	273.329
DB01424	231.2936
DB01425	315.3702
DB01426	326.4326
DB01427	187.198
DB01428	228.2433
DB01429	322.487
DB01430	477.5522
DB01431	300.4782
DB01432	-1
DB01433	353.4977
DB01434	272.382
DB01435	188.2258
DB01436	400.6371
DB01437	217.2637
DB01438	213.2385
DB01439	356.525
DB01440	104.1045
DB01442	209.2417
DB01444	263.421
DB01445	204.2682
DB01450	413.5497
DB01452	369.411
DB01454	193.2423
DB01456	286.415
DB01459	492.6114
DB01463	215.3339
DB01466	313.3908
DB01467	223.3113
DB01471	316.4776
DB01472	165.2322
DB01481	288.4244
DB01482	341.415
DB01483	184.1925
DB01484	274.154
DB01485	304.43
DB01486	151.2056
DB01488	188.2688
DB01489	371.818
DB01493	288.4675
DB01495	519.032
DB01496	368.33
DB01497	411.5338
DB01501	424.5341
DB01509	179.2157
DB01510	-1
DB01511	305.159
DB01520	249.415
DB01521	322.869
DB01524	290.4403
DB01525	185.2203
DB01529	392.543
DB01531	271.36
DB01534	265.562
DB01535	394.5066
DB01536	286.4085
DB01537	260.128
DB01538	343.4168
DB01541	286.4085
DB01543	288.431
DB01544	313.2832
DB01545	360.767
DB01547	333.422
DB01548	425.569
DB01549	229.3605
DB01550	188.2688
DB01551	301.3801
DB01553	349.211
DB01554	276.42
DB01555	353.4977
DB01556	183.678
DB01558	316.153
DB01559	318.821
DB01560	149.1897
DB01561	288.4244
DB01562	323.4287
DB01563	165.403
DB01564	316.4776
DB01565	287.3535
DB01566	207.2689
DB01567	302.731
DB01569	344.4446
DB01571	350.4971
DB01572	302.458
DB01574	412.684
DB01575	258.156
DB01576	135.2062
DB01577	149.2328
DB01578	789.1
DB01579	191.274
DB01580	265.348
DB01581	264.304
DB01582	278.33
DB01583	1471.8072
DB01586	392.572
DB01587	368.814
DB01588	324.804
DB01589	386.794
DB01590	958.24
DB01591	362.473
